State, Name, Longitude, Latitude, Elevation, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
IL, PALESTINE, -87.614, 38.999, 448, M, M, M, M, 0.56, 6.4, 10
IL, LAWRENCEVILLE VINCENNES INTL AP, -87.599, 38.760, 427, 15, -5, 5.0, M, M, M, M
IL, HUTSONVILLE, -87.666, 39.110, 483, M, M, M, M, 0.42, M, M
IL, CASEY, -87.975, 39.298, 620, 13, 2, 7.5, 3, 0.50, 7.6, 8
IL, LAWRENCEVILLE 2WSW, -87.720, 38.724, 451, 16, 2, 9.0, 4, 0.62, 10.2, 14
IN, BOONVILLE 1S, -87.274, 38.030, 400, 17, -0, 8.5, 11, 0.09, 1.0, 5
IN, EVANSVILLE REGIONAL AP, -87.515, 38.050, 402, 17, 2, 9.5, M, T, T, 4
IN, 1 WSW PRINCETON, -87.593, 38.352, 450, 14, 7, 10.5, 8, 0.66, M, 6
IN, WASHINGTON 1 W, -87.199, 38.649, 482, 16, -3, 6.5, 16, T, 2.0, 8
IN, VINCENNES 4 E, -87.463, 38.679, 530, M, M, M, M, 0.42, 6.0, 10
IN, FARMERSBURG TV-2, -87.390, 39.243, 548, 17, -1, 8.0, -1, T, 0.0, 9
IN, VINCENNES 5 NE, -87.488, 38.739, 452, 15, 3, 9.0, 8, 0.54, 8.0, 13
IN, SHAKAMAK STATE PARK, -87.244, 39.161, 549, 11, -4, 3.5, -1, 0.72, 8.5, 9
IL, ROBINSON, -87.777, 39.006, 535, 13, 3, 8.0, 3, 0.25, 10.0, 13
IN, BICKNELL 0.3 W, -87.315, 38.775, 517, M, M, M, M, 0.78, 8.5, 10
IN, GRAYSVILLE 5 WNW, -87.640, 39.131, 447, M, M, M, M, 0.07, 9.0, 12
IN, WASHINGTON 1.5 NW, -87.190, 38.675, 476, M, M, M, M, 0.81, 8.7, 12
IN, FRANCISCO 0.1 SE, -87.447, 38.333, 457, M, M, M, M, 0.56, 7.0, 7
IN, PETERSBURG 1.4 ENE, -87.260, 38.502, 561, M, M, M, M, 0.60, 6.0, 7
IN, POSEYVILLE 2.8 NW, -87.822, 38.197, 453, M, M, M, M, 0.87, 9.0, M
IN, EVANSVILLE 5.9 WNW, -87.645, 38.016, 584, M, M, M, M, 0.50, 6.0, M
IN, BOONVILLE 2.4 N, -87.276, 38.080, 469, M, M, M, M, 0.45, 4.0, 4
IN, BOONVILLE 1.4 N WBNL RADIO, -87.274, 38.065, 466, M, M, M, M, 0.45, M, M
IN, PRINCETON 1.0 NW, -87.580, 38.368, 472, M, M, M, M, 0.62, 8.0, M
IN, BOONVILLE 4.5 WSW, -87.350, 38.019, 422, M, M, M, M, 0.54, 4.0, 6
IN, EVANSVILLE 3.5 ENE, -87.488, 38.011, 386, M, M, M, M, M, M, M
IN, POSEYVILLE 2.9 SSE, -87.754, 38.136, 409, M, M, M, M, 0.73, M, M
IN, EVANSVILLE 10.0 NW, -87.687, 38.074, 515, M, M, M, M, 0.56, M, M
IL, MOUNT CARMEL 4.2 NW, -87.833, 38.452, 492, M, M, M, M, 0.78, 7.0, M
IN, NEW HARMONY 1.5 E, -87.905, 38.125, 398, M, M, M, M, M, M, M
IN, HYMERA 0.4 W, -87.306, 39.187, 536, M, M, M, M, 0.60, 6.0, 7
IN, TERRE HAUTE 7.0 S, -87.364, 39.371, 557, M, M, M, M, 0.62, M, M
IN, SULLIVAN 0.5 SW, -87.416, 39.092, 490, M, M, M, M, M, M, M
IN, EVANSVILLE 6.7 NW, -87.623, 38.058, 493, M, M, M, M, 0.72, 6.1, 6
IN, EVANSVILLE 5.4 NNE, -87.498, 38.054, 406, M, M, M, M, 0.35, 4.0, M
IN, EVANSVILLE 2.5 NE, -87.509, 38.008, -, M, M, M, M, 0.48, 4.0, M
IL, CHICAGO OHARE INTL AP, -87.932, 41.960, 672, 20, 7, 13.5, M, 0.01, 0.8, 21
IL, DANVILLE, -87.648, 40.139, 555, 16, 4, 10.0, 12, 0.41, 5.5, 11
IL, HOOPESTON, -87.685, 40.466, 710, 12, -5, 3.5, M, 0.58A, 9.8, 13
IL, PARIS STP, -87.667, 39.619, 649, 12, 3, 7.5, 4, 0.08, 7.3, 9
IL, SIDELL 4N, -87.823, 39.968, 672, 11, 1, 6.0, 2, 0.32, 6.0, 9
IL, DANVILLE SEWAGE PLANT, -87.596, 40.102, 536, M, M, M, M, 0.60, 7.0, 7
IL, KANKAKEE WWTP, -87.886, 41.135, 600, 15, 1, 8.0, 7, 0.66A, 13.0, 16
IL, PEOTONE, -87.789, 41.334, 718, M, M, M, M, 0.64, 6.8, 21
IL, PARK FOREST WATER, -87.680, 41.495, 710, 14, -8, 3.0, 7, 0.40, 8.5, 25
IL, CHICAGO PALWAUKEE AP, -87.905, 42.121, 629, 20, 7, 13.5, M, M, M, M
IL, BOURBONNAIS 3NW, -87.935, 41.176, 658, M, M, M, M, 0.47, 6.6, 16
IL, LITTLE RED SCHOOL HOUSE, -87.877, 41.709, 719, M, M, M, M, S, M, M
IN, ROCKVILLE, -87.227, 39.759, 689, 10, -3, 3.5, -3, 0.00, 0.0, 0
IN, PERRYSVILLE 4 WNW, -87.507, 40.074, 611, 14, 3, 8.5, 7, 0.19, 4.0, 7
IN, LOWELL WWTP, -87.417, 41.264, 665, 14, 3, 8.5, 9, 0.54, 9.0, 22
IN, MOROCCO 1NW, -87.478, 40.959, 674, M, M, M, M, 0.56, 6.0, 16
IN, FORESMAN RIVER, -87.307, 40.871, 645, M, M, M, M, M, M, M
IN, CROWN POINT 1N, -87.354, 41.439, 696, M, M, M, M, 0.40, 9.5, 18
IN, PENCE 1 SW, -87.525, 40.352, 700, M, M, M, M, 0.21, 5.5, 9
IN, LAKE VILLAGE 7SE, -87.383, 41.086, 675, M, M, M, M, 0.70, 12.0, 24
IL, CHICAGO MIDWAY AP 3SW, -87.777, 41.737, 620, 22, 8, 15.0, 13, 0.06, 1.2, 26
IL, CHICAGO MIDWAY AP, -87.755, 41.784, 610, 22, 8, 15.0, M, M, M, 24
IL, ST ANNE, -87.714, 41.023, 666, M, M, M, M, 0.22, 6.5, 15
IL, OGDEN, -87.957, 40.110, 675, 12, 2, 7.0, 5, 0.36, 7.0, 10
IN, TERRE HAUTE HULMAN REGIONAL AP, -87.322, 39.443, 567, 18, -7, 5.5, M, T, M, M
IL, CHICAGO NORTHERLY ISLAND, -87.609, 41.856, 583, 23, 10, 16.5, 15, M, M, M
IL, LANSING 2S, -87.542, 41.542, 614, M, M, M, M, 0.59, 14.8, 21
IL, GLENVIEW 1.2 WNW, -87.836, 42.089, 656, M, M, M, M, M, M, M
IL, OAK LAWN 1.6 WNW, -87.778, 41.727, 617, M, M, M, M, 0.08, M, M
IL, ELMHURST 0.8 ESE, -87.930, 41.893, 686, M, M, M, M, 0.37, 5.9, 20
IN, WEST TERRE HAUTE 5.0 SW, -87.504, 39.405, 539, M, M, M, M, 0.50, M, M
IL, BRIDGEVIEW 1.3 NNW, -87.817, 41.755, 617, M, M, M, M, 0.77, 14.5, 30
IL, CHICAGO 5.5 ESE, -87.590, 41.801, 600, M, M, M, M, 0.84, M, M
IL, MOUNT PROSPECT 3.0 NE, -87.897, 42.096, 653, M, M, M, M, 0.20, 4.5, 14
